building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"Hegeman E",113,3,,275,288,,244,315,301,21.3081031191717,-0.0747390498763581
"Minden",212,3,,276,448,585,598,620,625,6.78258906316287,-0.012695257066461
"Hegeman A",201,3,,277,227,233,164,153,,8.29082626666091,-0.039238438192767
"Metcalf",206,1,,278,49,,,,160,2.8911711922261,-0.0180897525873907
"Gregorian Quad A",402,4,1,279,244,258,344,322,325,14.4662747804419,-0.0489000855624895
"Gregorian Quad A",404,4,1,279,144,212,344,246,325,6.90631336703213,-0.0266863638175726
"Metcalf",109,1,,280,10,130,243,189,270,3.41385747176767,-0.0183811310429362
"Gregorian Quad B",305,4,1,281,303,,,,,48.2471909104352,-0.164947661232256
"Hegeman D",309,3,,283,336,292,298,334,,25.3855538484335,-0.0821273175297338
"Gregorian Quad A",403,4,1,284,313,305,239,322,306,19.4945066622778,-0.0660084875817348
"Slater Hall",401,3,,285,299,325,345,364,322,22.230021338804,-0.0686464889522157
"Slater Hall",402,2,,285,320,491,515,154,132,3.64886650985547,-0.0115697711744745
"Goddard House",338,1,,285,,336,,,,22.1226568839257,-0.0711339449652075
"Metcalf",218,1,,286,,,,,295,117.534448629423,-0.40389844889836
"Sears House","400A",7,1,287,500,125,517,,537,4.0850801185133,-0.0103154311233083
"Gregorian Quad A",302,4,1,288,304,251,338,295,318,20.1809634990398,-0.0673821819726745
"Gregorian Quad A",312,4,1,288,259,107,299,279,262,6.94422912591041,-0.0278364847954001
"Grad Center A",640,6,,289,699,589,559,402,396,5.8640328128494,-0.0118199446192051
"Metcalf",413,1,,289,,263,208,,,13.6350459689196,-0.0537165352557681
"Metcalf",418,1,,289,,242,196,,,11.6005472950466,-0.0477716815769504
"Metcalf",419,1,,289,,174,231,,,8.95295121001216,-0.0386186184925906
"Goddard House",221,1,,290,,,256,,,29.1850390135744,-0.106709466228792
"Gregorian Quad B",302,4,1,291,248,307,336,344,283,16.8497250301745,-0.0557937916535898
"Sears House",312,1,,292,252,,420,,257,8.14544048252472,-0.0266417234528452
"Archibald House",305,1,,293,,,,,,6971.92445938594,-23.7544273998744
"Gregorian Quad A",407,4,1,293,313,227,329,341,340,14.1285667373859,-0.045921671084291
"Metcalf",217,1,,294,175,,,,270,8.7087512721565,-0.0352825895367071
"New Pembroke #4",401,1,,295,461,441,,,228,6.56030169600358,-0.0183879943271878
"Hegeman E",213,3,,296,324,274,317,287,284,30.1061102169431,-0.101197009132583
"Grad Center C",540,5,,297,427,464,427,591,588,8.10871473872259,-0.0173603651587324
"Gregorian Quad B",202,4,1,298,276,243,363,332,352,13.2764833094745,-0.0426667969954687
"Olney House",322,1,,298,,369,371,,,18.5121249788872,-0.0534260461210533
"Sears House","306A",1,,299,201,123,372,230,,5.17849500267317,-0.0211165717536184
"Sears House","226A",1,,299,366,303,,,,19.1034599104225,-0.0591133365096262
"Sears House","226B",1,,299,369,,,,,17.3353256283916,-0.0518245908874754
"Hegeman D",403,3,,300,317,314,339,351,307,32.591123234849,-0.101267084106211
"Hegeman D",404,3,,300,317,314,339,360,307,28.5805131346857,-0.0883933395917772
"Hegeman E",212,2,,301,278,220,261,338,431,8.26874162763438,-0.0270818125971284
"Hegeman B",207,2,,301,293,299,8,273,431,3.63679411922124,-0.0136584430551649
"Hegeman B",306,3,,301,181,261,317,115,268,6.15276413879916,-0.0255390420361195
"Metcalf",414,1,,301,,278,283,,,52.8798115254943,-0.18371677426344
"Wayland House","400B",7,1,302,400,415,410,301,560,8.28086949700887,-0.0207762934050783
"Olney House",223,1,,302,,214,366,,,8.56738546960431,-0.0290919209450074
"Hegeman B",206,3,,303,289,,8,228,281,3.47777191327485,-0.0157801801480469
"Gregorian Quad A",204,4,1,304,286,100,290,247,305,6.41145714834228,-0.0250675131624547
"Miller",105,2,,305,250,,265,48,110,3.4001152775421,-0.017506832506588
"Gregorian Quad B",201,4,1,306,247,238,374,332,298,11.5928972413955,-0.0386860060141494
"Hegeman A",203,3,,307,346,271,338,292,,20.138907548083,-0.0646929249917281
"Hegeman A",301,3,,307,326,263,300,275,,23.66746002024,-0.0803103495768325
"Hegeman A",303,3,,307,326,322,300,275,,30.5697356487645,-0.0997381260971115
"Sears House","306B",1,,307,387,165,372,270,,6.8042115742907,-0.0226313054656766
"Minden",802,3,,308,524,347,324,405,,8.82069603237702,-0.0230837589520534
"Metcalf",216,1,,309,68,,,,37,1.48204669608329,-0.0121806465503246
"Gregorian Quad B",110,4,1,310,316,306,378,318,360,21.9559780575217,-0.0661656797321692
"Metcalf",318,1,,311,,57,218,180,321,3.95177321831393,-0.0182231720143693
"Metcalf",314,1,,311,,182,218,199,168,7.74434918629034,-0.0358389173911495
"Metcalf",409,1,,312,,263,240,,,16.441741733832,-0.0604105638999943
"Metcalf",408,1,,312,184,272,260,,,10.0784669855089,-0.0391398437235042
"Metcalf",406,1,,312,184,256,251,,,10.0425116715071,-0.0399703723084894
"Marcy House","306A",1,,313,,,,,,7466.09849586845,-23.8153061726483
"Grad Center A",510,5,,314,376,354,337,404,266,14.0440842515136,-0.0410245900026949
"Gregorian Quad B",108,4,1,315,319,300,370,318,312,26.3594448832697,-0.0816503197210298
"Goddard House",340,1,,315,,,,,,7515.14013132449,-23.8197785144073
"Goddard House",345,1,,315,,,,,,7515.14013132449,-23.8197785144073
"Young Orchard #2",120,4,1,316,295,209,,,438,6.96372786724634,-0.0221094577321646
"Metcalf",400,1,,317,101,83,251,,,3.23490425979099,-0.0173672573096965
"Gregorian Quad B",404,4,1,317,310,289,393,346,359,17.6967314779675,-0.052642731266268
"Hegeman B",204,3,,318,246,299,317,292,281,21.7126486198037,-0.0741890043970017
"Hegeman B",205,2,,318,246,532,335,383,215,5.90516988171635,-0.0174395969929511
"Marcy House","306B",1,,318,,,,,,7588.55251095751,-23.8259105243646
"Olney House",323,1,,318,,,371,,,23.6150155399629,-0.0684493204057238
"Minden",312,3,,319,566,617,637,597,604,8.29828828789594,-0.0146760846164868
"Hegeman E",112,3,,320,363,312,326,303,326,31.3826584879667,-0.0964136973516645
"Hegeman E",215,3,,320,265,117,230,160,221,5.97028489233958,-0.0272319212258399
"Grad Center C",610,6,,321,678,606,308,436,,5.23925557336697,-0.0109945817557677
"Grad Center C",640,5,,321,,587,398,428,573,7.91887570403313,-0.0171067857153335
"Barbour Hall Apartments",130,3,1,322,302,224,322,352,104,5.78703906121607,-0.0213260935465937
"Hegeman D",310,3,,323,323,292,298,219,284,15.07427366992,-0.0519205762138222
"Minden",208,2,,324,284,,428,200,550,5.24103229110883,-0.0146495366372424
"Barbour Hall Apartments",310,3,1,325,,282,,323,,28.4239817588635,-0.091542614360158
"Barbour Hall Apartments",330,3,1,325,418,289,424,290,,10.5572430645882,-0.0301894443041215
"Goddard House","344A",1,,325,,,,,,7759.10088888915,-23.8374835100072
"Mead House",203,1,,327,,,,,,7807.625175875,-23.8400768556811
"Mead House",204,1,,327,413,621,557,414,454,8.45422963312635,-0.0181599691293674
"Hegeman C",208,3,,328,268,315,322,333,176,9.51797824660969,-0.0327268246948499
"Mead House",229,1,,329,375,453,395,386,378,19.1943760273989,-0.0496620332506075
"Minden",606,2,,330,367,357,551,379,566,7.98443250243291,-0.0187528876276415
"Minden",608,2,,330,367,357,573,199,539,5.45712059880577,-0.0138028618000034
"Minden",809,2,,331,218,93,388,,229,4.39098339233843,-0.0174515367837995
"Minden",306,2,,331,263,197,406,334,392,8.05548836614273,-0.0250957649755492
"Morriss Hall",101,4,1,332,,,,,,7928.51414853377,-23.8451553225931
"Chapin House",312,1,,333,,,,,,7952.61725759403,-23.8459287981949
"Grad Center C",430,5,,334,538,422,409,558,434,10.5343879341911,-0.0234212658426881
"Hegeman D",210,3,,336,,302,252,221,170,7.94126736837696,-0.0309373875645658
"Hegeman D",211,3,,336,336,316,,317,307,50.340493064488,-0.155901186325451
"Hegeman B",107,3,,337,293,298,293,256,326,20.9337997904829,-0.0695475076123604
"Woolley",307,1,,339,329,329,412,329,315,19.4222406459724,-0.0566796906069625
"Hegeman D",110,3,,340,368,319,309,,,26.854863166253,-0.0802835969095805
"Hegeman D",111,3,,340,359,319,309,353,,31.7166773804036,-0.0942546133147207
"Woolley",219,1,,340,414,334,,260,204,7.80559924651826,-0.0251076089518118
"Woolley",218,1,,340,391,334,422,209,196,6.69393245411064,-0.0211976137953276
"Woolley",216,1,,340,361,320,,,302,27.2649013013981,-0.0823091360042235
"Hegeman C",108,3,,341,353,,325,353,327,50.9996235377549,-0.149866657472098
"Chapin House",310,1,,341,,,,,,8144.49839657705,-23.8491900327932
"Emery",107,1,,342,96,,,,105,2.56434923396806,-0.0145373152282575
"Emery",207,1,,342,45,,125,34,80,1.41658130591961,-0.0130038203395658
"Hegeman B",305,2,,343,593,532,397,399,421,9.3135275417387,-0.020778251012843
"Minden",513,3,,344,411,505,440,343,399,13.1880008885591,-0.0323630163308787
"Minden",506,2,,344,344,339,490,359,498,10.2782499351766,-0.025943454323073
"Minden",508,2,,344,308,339,440,359,440,13.3303110176606,-0.0358181057127274
"Olney House",224,1,,345,,214,306,,,9.53681168882343,-0.0330186394984348
"Goddard House",115,1,,345,372,,,,,48.2446582440249,-0.134386234663023
"Hegeman C",109,3,,345,353,315,325,350,332,44.3504877573055,-0.131538767446278
"Hegeman B",104,3,,346,352,298,293,355,330,23.9010958709244,-0.0725374685006518
"Hegeman B",105,2,,346,681,626,645,456,634,7.17711559581812,-0.0123565701124579
"Hegeman A",103,3,,346,355,298,340,360,,28.0308037961823,-0.0823708604060601
"Goddard House",312,1,,347,285,170,361,262,,7.56259983960608,-0.0264907605684337
"Goddard House",313,1,,347,,210,407,262,344,8.19882341612611,-0.0260701307552777
"Goddard House",314,1,,347,325,348,361,262,346,18.3450397244032,-0.0552561437767494
"Goddard House",315,1,,347,262,292,378,282,344,13.9733630377727,-0.0439413957832717
"Minden",512,3,,348,581,556,657,597,625,9.1409086909922,-0.0161029161419407
"Hegeman C",401,3,,349,292,232,245,269,176,8.86651183666838,-0.033971858046858
"Hegeman B",304,3,,350,337,261,262,213,216,9.2847254682581,-0.0339274764156132
"Goddard House",310,1,,350,325,348,404,250,346,13.3795328752657,-0.0396234961941024
"Barbour Hall Apartments",110,3,1,351,242,368,,,,10.4233345422495,-0.0324883970134319
"Woolley",106,1,,351,345,356,,,,141.933455957677,-0.404176903533972
"Woolley",206,1,,351,,337,349,334,315,47.4726650140542,-0.140576443630577
"Barbour Hall Apartments",80,4,1,352,421,500,515,383,514,12.3859805360895,-0.0276453117515028
"Minden",201,3,,353,429,414,365,380,386,26.6911937379448,-0.0687326877356268
"Goddard House","344B",1,,354,,,,,,8452.47313132615,-23.8433656864525
"Goddard House",316,1,,354,325,292,242,209,267,10.4816357962809,-0.0371690219634192
"Goddard House",317,1,,354,318,348,369,209,344,10.9933847018144,-0.0339127990113153
"Goddard House",318,1,,354,325,348,242,209,345,9.69890598612838,-0.0318695459380154
"Goddard House",319,1,,354,294,,,244,146,6.15491294944105,-0.0236808810613176
"Grad Center A",540,6,,355,439,608,469,283,489,7.64663240126515,-0.0173164630663842
"Sears House","114B",1,,357,238,,174,163,263,6.17480341079616,-0.0257908257939776
"Barbour Hall Apartments",370,4,1,358,627,385,403,424,404,8.78398354177448,-0.0202300641124054
"Goddard House",303,1,,360,,349,242,,,10.8194456194695,-0.0340770509821545
"Grad Center C",510,6,,361,609,408,381,339,651,6.42049368871306,-0.0139299609939341
"Poland House",323,1,,361,349,444,483,357,362,13.8446450036865,-0.0352131237053032
"Poland House",325,1,,361,349,403,490,357,362,14.2920245390519,-0.036882620934906
"Poland House",327,1,,361,349,360,321,353,296,25.9921577896879,-0.0763352651679637
"Barbour Hall Apartments",260,5,1,362,387,485,334,396,369,14.9300392540597,-0.0383476876427531
"Goddard House",117,1,,362,372,,,,,133.53700071654,-0.36336598834433
"Minden",507,3,,363,344,328,319,371,145,7.36717720507725,-0.0236018713818617
"Minden",406,2,,363,374,484,,,,13.526863621105,-0.0331946252762555
"Harkness House","400A",7,1,364,537,499,550,535,497,14.3252813315219,-0.0287889723920979
"Grad Center C",520,5,,365,580,,,423,,9.00457553206518,-0.0197099746855697
"Grad Center C",530,5,,365,484,411,379,434,,17.8125756720332,-0.0429115194376014
"Hegeman C",402,3,,366,,232,245,324,226,9.01136019691915,-0.0322876489197603
"Jameson House",319,1,,366,416,427,278,416,538,9.50810306481211,-0.0233400276217871
"Morriss Hall",401,6,1,367,549,509,368,510,563,10.679340452412,-0.0223201626615936
"Mead House",216,1,,368,375,486,480,399,451,16.1282660446939,-0.0377710393842768
"Mead House",218,1,,368,357,486,480,414,439,15.4333017555551,-0.0363563222648915
"Mead House",225,1,,368,375,,,,378,162.360457835487,-0.433925499783045
"Mead House",227,1,,368,375,453,500,386,378,15.1251246978821,-0.0368455600691462
"Poland House",201,1,,369,377,454,393,348,375,21.1249500097516,-0.0546570503783322
"Poland House",202,1,,369,335,495,478,370,375,12.1741088616696,-0.0301212041787372
"Poland House",203,1,,369,335,502,414,370,398,13.7131866253928,-0.034411939417341
"Poland House",204,1,,369,335,177,449,391,419,7.33269809706655,-0.0205297486305317
"Goddard House","306A",1,,371,338,388,404,277,375,15.6319144496952,-0.0435025442911807
"Grad Center C",620,5,,371,584,587,398,494,608,9.44362944536532,-0.0185561459985953
"Grad Center B",440,5,,372,332,591,541,590,387,7.65741219904053,-0.0162694593542529
"Barbour Hall Apartments",280,4,1,373,435,548,267,488,575,7.56821320530152,-0.0168582390733601
"Woolley",406,1,,375,329,337,373,329,314,26.9976973268794,-0.0786340698841176
"Woolley",315,1,,376,407,329,351,329,315,20.1298976266046,-0.057241415050353
"Woolley",316,1,,376,335,329,351,253,154,7.22052358578561,-0.0240573068824171
"Woolley",318,1,,376,335,,221,242,154,5.99692697033377,-0.0225456045033189
"Woolley",319,1,,376,407,337,351,242,,11.1816872891604,-0.0325901901578977
"Woolley",306,1,,377,282,329,349,229,154,6.82060570626917,-0.0237550477203229
"Woolley",323,1,,377,384,337,412,329,,21.6635117195854,-0.0588202870408369
"Barbour Hall Apartments",50,3,1,377,358,386,376,381,124,6.39834709066595,-0.0191496748529049
"Barbour Hall Apartments",60,6,1,377,457,324,316,600,350,7.32543227043109,-0.0181005268969366
"Grad Center B",420,5,,378,,565,566,384,606,8.88137511711186,-0.0176914529347085
"Grad Center A",610,5,,379,410,377,,,,46.7331675990477,-0.120085227235241
"Champlin",305,1,,380,,,266,,180,6.07282122405901,-0.0220243338847099
"Champlin",306,1,,380,,285,304,253,240,10.7715472695331,-0.0367755831070493
"Gregorian Quad B",405,2,,381,279,613,646,,601,5.5394480775057,-0.0107433044723676
"Minden",706,2,,382,350,328,599,350,411,7.96001282942844,-0.019705270704367
"Minden",708,2,,382,350,328,439,265,502,8.94568337916247,-0.0236545293756212
"Barbour Hall Apartments",360,5,1,383,406,393,356,411,310,19.7164057958697,-0.0522981584870105
"Grad Center A",520,5,,383,417,,,,,42.7371412247099,-0.106709466228989
"Emery",404,1,,383,329,94,375,312,194,4.81978958499279,-0.0171379261597573
"Chapin House","400B",5,1,385,515,,,508,518,15.6259056266558,-0.0324170130153138
"Grad Center C",440,5,,387,503,361,446,564,543,11.1005567721291,-0.0237195191941766
"Poland House",334,1,,387,228,346,454,372,362,9.63729019051619,-0.0268696809988445
"Poland House",336,1,,387,349,346,454,372,401,19.1330514433491,-0.0496532472594895
"Goddard House","306B",1,,387,405,387,407,277,375,15.2815555493273,-0.0409144691426693
"Poland House",338,1,,387,349,346,490,372,,13.3708398737601,-0.0343458070611922
"Grad Center B",610,6,,388,698,392,554,,,6.59544712025152,-0.0128182841573145
"Poland House",205,1,,388,377,391,449,,419,28.189469768943,-0.0695521089740854
"Minden",215,3,,389,307,437,354,261,487,8.89567094450791,-0.0238483293114843
"Minden",412,3,,389,563,544,637,584,584,12.3464168957048,-0.0223600295221856
"Jameson House",325,1,,389,,,,,,9255.21337588447,-23.7617802124822
"Poland House",321,1,,389,349,368,490,372,362,15.0036832923994,-0.0385863977183076
"Archibald House",304,1,,389,341,384,419,391,409,28.7007740751221,-0.0737177416309311
"Archibald House",302,1,,389,341,384,419,399,435,24.1905226434286,-0.0612418294549594
"Chapin House",309,1,,389,,,,,,9255.21337588447,-23.7617802124822
"Minden",308,2,,390,263,381,406,373,218,8.62752801838229,-0.0254501881887589
"Emery",204,1,,391,261,94,212,254,186,4.63683112119634,-0.0198992844411352
"Emery",220,1,,391,214,37,155,175,118,2.7547183504561,-0.0154615226950072
"Minden",401,3,,392,298,,346,400,502,10.3671021786368,-0.0267119426478676
"Bronson House",306,1,,392,405,577,537,427,432,11.9825755355473,-0.025922715852152
"Archibald House",301,1,,393,341,,419,380,,24.7312735591625,-0.0644463154602992
"Archibald House",303,1,,393,341,397,419,399,393,29.8284963925189,-0.0763202466331185
"Woolley",129,1,,394,335,169,285,202,69,3.91647243878013,-0.0162077945428175
"Minden",408,2,,395,306,544,607,225,584,5.20728998616593,-0.011630540424527
"Gregorian Quad A",408,2,,396,621,227,329,341,598,4.9941252062035,-0.0118492935587341
"Barbour Hall Apartments",270,4,1,397,518,372,,,596,9.22446185050225,-0.0195502075571373
"Poland House",324,1,,398,349,445,,,,18.4108381858041,-0.0462777646405366
"Poland House",208,1,,399,377,434,466,391,429,25.1176991559719,-0.0603066005124199
"Minden",701,3,,400,443,342,385,501,199,7.25211750170333,-0.01913992283887
"Minden",702,3,,400,648,364,457,595,552,8.4536013592204,-0.016731330577211
"Chapin House",311,1,,400,,,,,,9499.10854808036,-23.7181237663078
"Grad Center B",630,6,,401,667,266,545,403,643,5.60784707313005,-0.0113167373590561
"Woolley",429,1,,401,,66,351,203,173,3.34411699164537,-0.0141143551954496
"Slater Hall",404,3,,402,438,513,345,248,356,8.43924754735397,-0.0219658886091984
"Slater Hall",104,3,,403,469,367,420,120,320,5.56238685528193,-0.0158781243517549
"Slater Hall",302,2,,403,237,564,417,307,132,4.32261278591605,-0.0125796925550707
"Minden",712,3,,404,557,615,626,629,585,12.3902767485156,-0.0216436726313902
"Grad Center B",510,6,,405,396,591,522,421,654,8.8301683119481,-0.0176537812231458
"Mead House",304,1,,405,,,,414,413,185.639472419574,-0.451494460688072
"Grad Center B",530,5,,406,442,524,425,375,416,16.9626283037978,-0.0392804375198169
"Archibald House",217,1,,406,378,414,484,372,428,20.2970667851564,-0.0490070002320037
"Minden",101,2,,406,569,598,562,616,641,12.7401029112816,-0.0224328955582036
"Everett House",316,1,,407,423,516,549,426,415,14.971929356776,-0.0327965073373868
"Everett House",324,1,,407,,,,329,414,18.0714723202554,-0.0470815591595437
"Grad Center B",540,5,,408,408,560,451,529,589,12.2457826570786,-0.0249130618898317
"Grad Center C",310,6,,409,632,317,423,409,618,7.01309913037668,-0.0149070897803529
"Minden",601,3,,412,398,418,440,453,534,17.9660804863529,-0.040555420246267
"Minden",806,2,,412,298,370,598,,585,6.64062339827352,-0.0146012168432986
"Minden",206,2,,413,374,281,301,,408,11.814569534971,-0.0331963081589891
"Minden",815,3,,413,338,486,236,308,444,7.87660851626412,-0.021210372646686
"Grad Center B",640,5,,413,468,230,,403,574,6.6507827070571,-0.0158840605425774
"Archibald House",418,1,,413,295,440,392,399,443,14.5884036960622,-0.0367003511236482
"Woolley",407,1,,414,329,337,373,320,314,17.9876949400102,-0.0516393156232029
"Woolley",423,1,,414,354,337,355,305,314,17.73921979981,-0.0511216709070324
"Bronson House",309,1,,414,,537,513,437,412,16.061610357706,-0.0346821647626139
"Bronson House",304,1,,415,183,527,535,398,432,6.32436232806263,-0.0151954968874164
"Gregorian Quad A",410,2,,416,621,595,513,386,598,9.86885899646242,-0.0188427361594499
"New Pembroke #3",203,1,,417,431,554,,369,340,10.394979652079,-0.0245893985330427
"New Pembroke #3",205,1,,417,,,,,,9868.24390488702,-23.6365124073504
"Grad Center A",440,6,,418,,492,570,354,513,11.1981620898474,-0.0238216422442453
"Bronson House",206,1,,419,,,548,398,432,13.9779271146174,-0.0310782574141508
"Emery",320,1,,420,,,248,,78,2.95253537256269,-0.0120368742667418
"Emery",420,1,,420,280,,271,183,107,4.2432152799054,-0.0168464628108334
"Bronson House",313,1,,420,410,,,,,150.978568156502,-0.36336598834297
"Grad Center A",530,5,,421,417,513,469,534,622,12.5692575806567,-0.0253047895992846
"Jameson House",318,1,,422,394,575,,,538,11.3918171577285,-0.0235851011895619
"Archibald House",221,1,,423,378,424,426,,377,32.0752473448887,-0.0789836181845855
"Emery",401,1,,424,329,76,375,312,323,4.98039267322266,-0.0162401565171408
"Emery",409,1,,424,370,91,375,313,,4.77069921814563,-0.0151592546598057
"Emery",411,1,,424,370,318,375,313,299,14.5178525185248,-0.0414401118543749
"Emery",417,1,,424,370,91,422,178,299,4.1761458208407,-0.0140624369584058
"Bronson House",214,1,,425,380,611,,,,8.36692363718536,-0.0176742649225306
"Woolley",207,1,,426,,,349,333,258,10.3944130755474,-0.0303930486239196
"Emery",304,1,,427,329,94,,,,3.46062672747949,-0.0122834084020002
"Emery",301,1,,427,328,,447,254,297,8.52381533338806,-0.0242774664213714
"Emery",309,1,,427,342,318,,,,14.0729852799964,-0.0387863595226226
"Emery",311,1,,427,384,318,302,313,294,12.6482929815354,-0.0371826401425723
"Grad Center A",430,5,,428,540,409,567,561,420,12.6981788630424,-0.0260131342474523
"Emery",104,1,,429,241,342,436,232,,6.92749128694595,-0.0205884359661154
"Emery",120,1,,429,260,10,24,51,171,1.23088827993347,-0.00939010736158475
"Emery",317,1,,429,370,318,401,313,241,10.0450577598166,-0.0290459847140523
"Emery",101,1,,430,208,,,,,5.13693807862508,-0.0160905136971484
"Emery",201,1,,430,220,22,447,300,171,2.960071890685,-0.0113155721328344
"Archibald House",218,1,,431,378,452,487,374,403,18.9107225581166,-0.0448830351840787
"Archibald House",227,1,,431,398,368,527,374,403,14.1752694805744,-0.0339661472952895
"Emery",217,1,,431,224,,,326,294,7.75369898398486,-0.024288289739509
"Woolley",223,1,,432,187,334,,329,293,7.23746847707615,-0.0229415272808989
"Grad Center A",330,5,,433,471,,,459,569,17.0006649515998,-0.035160554829042
"Archibald House",127,1,,433,405,499,,,,20.5359373843793,-0.0460274840199394
"Archibald House",131,1,,433,405,597,444,301,431,9.03478649419267,-0.0207291926732731
"Bronson House",204,1,,434,405,443,543,398,432,16.8315225928189,-0.0379942815340673
"Minden",402,3,,434,641,520,455,563,576,13.2509755851073,-0.0248808441942669
"Woolley",113,1,,435,345,295,365,110,218,4.97846548346428,-0.016886695139479
"Woolley",115,1,,435,345,369,391,217,224,7.28167613409744,-0.0220224749928331
"Woolley",116,1,,435,430,351,391,217,224,6.87220729126058,-0.0201050016763463
"Woolley",119,1,,435,378,369,412,332,224,9.52263607506023,-0.0265376703848002
"Barbour Hall Apartments",290,4,1,436,576,309,445,,596,7.94838685842889,-0.0167634146844172
"Everett House",216,1,,437,386,542,,,,12.6925594588316,-0.0278629634357029
"Woolley",418,1,,438,354,329,351,253,154,6.33502948742954,-0.0202011899523064
"Woolley",419,1,,438,354,329,351,305,314,14.4533800175593,-0.041413696490258
"Woolley",107,1,,439,345,295,282,,,10.0190771959943,-0.0294030837483861
"Woolley",118,1,,439,420,342,412,27,224,3.64191941585052,-0.011757052318125
"Woolley",123,1,,439,390,369,422,328,224,9.20510694217012,-0.0253931903427315
"Minden",315,3,,439,,338,408,370,279,11.9803646805002,-0.0326173422329371
"Emery",117,1,,440,249,342,272,232,171,5.95783286348762,-0.0209255196912255
"Woolley",215,1,,441,412,335,,285,302,10.5263174937539,-0.0296098664228043
"Minden",113,3,,442,432,417,365,410,504,18.6813034987992,-0.0435630689683259
"Grad Center B",520,5,,445,505,,,550,602,16.3714480090559,-0.0311155148062514
"Grad Center B",320,5,,446,588,,,,,13.0270689443561,-0.0251554431203744
"Bronson House",403,1,,448,379,,,,,21.7663194533363,-0.0525756500173218
"New Pembroke #4",320,1,,450,209,,415,326,96,3.96610092034927,-0.0132814754260327
"Woolley",229,1,,451,329,,202,190,178,4.54516514189776,-0.0168397284873377
"Grad Center A",420,6,,453,383,552,611,377,496,10.0745139575684,-0.0210063096118355
"New Pembroke #2",203,1,,454,,556,377,378,,10.9003304730075,-0.024671691235184
"New Pembroke #2",205,1,,454,,652,486,384,,8.80449446510108,-0.0177541914920839
"Woolley",329,1,,455,140,207,323,203,,4.19619195624914,-0.0158224774031033
"Woolley",415,1,,456,354,329,373,305,154,6.51086505982843,-0.0197925970283606
"Champlin",323,2,,457,,285,295,,140,4.65935466134801,-0.0158341949513738
"Champlin",206,1,,458,219,356,,,,6.34264643708187,-0.0183947692221589
"Champlin",406,1,,459,142,356,,,,4.22954611576575,-0.0132656395887183
"Bronson House",409,1,,460,379,537,,,,12.8797369269694,-0.0280479811829523
"Chapin House",217,2,,461,,648,650,641,669,11.9628466958787,-0.0191115334538122
"New Pembroke #2",104,1,,462,,661,89,384,,2.9120402028493,-0.00713462055462579
"Morriss Hall",301,6,1,463,511,390,367,495,316,10.8227644354171,-0.0255134697311967
"New Pembroke #3",212,1,,463,397,184,257,162,152,3.91580134286491,-0.0145881943282622
