building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"New Pembroke #2",102,2,,656,,649,539,448,,11.0339058588845,-0.0190842814886259
"New Pembroke #2",105,2,,656,,649,664,632,,99.7838115095538,-0.153334312313564
"Everett House",407,3,,657,,627,,,,77.1954762480774,-0.120143192378065
"New Pembroke #1",415,2,,657,538,659,659,619,,22.7409491902478,-0.0361821007919774
"Archibald House",319,4,,658,,668,677,,,154.520253950649,-0.23124859356536
"New Pembroke #1",201,2,,661,677,586,659,619,587,30.0419417655705,-0.0474696471261751
"New Pembroke #1",301,2,,661,677,643,,619,599,39.7197178591219,-0.0619824132506231
"New Pembroke #2",206,2,,666,,663,662,431,,8.61583207824595,-0.0137115846166512
"East Andrews",214,3,,670,681,680,415,651,,8.36322411003794,-0.0128900111802186
"New Pembroke #1",401,2,,675,745,643,659,632,599,21.08298821366,-0.031533657995631
"New Pembroke #2",215,2,,675,,663,661,602,,39.0370649116159,-0.0599025152998167
"West Andrews",211,3,,679,621,,666,651,,53.2539285826961,-0.0812938648384899
"West Andrews",411,3,,679,,691,666,,684,115.135883153426,-0.16881270982289
"East Andrews",414,3,,684,737,691,670,,,34.2108576233956,-0.0479297113295317
"East Andrews",208,1,,,4,139,78,97,62,2.86123953071009,-0.0381424756798163
"Minden",209,1,,,7,5,15,3,5,2.94721420961981,-0.401200915782839
"Minden",305,1,,,8,6,,,,14.2032206624746,-1.8937629569505
"Metcalf",107,1,,,10,130,243,159,270,2.95206713106194,-0.0184370709909658
"Minden",805,1,,,12,25,22,,65,2.47939931726883,-0.0813667150561358
"Minden",705,1,,,17,27,21,,71,2.55790259003599,-0.0763853318092441
"Gregorian Quad B","401B",1,,,21,23,61,68,36,3.80488190814294,-0.0904940764326289
"Gregorian Quad B","401C",1,,,23,62,35,62,52,5.49936892315505,-0.116357113207267
"Hegeman E",114,1,,,30,70,44,30,88,4.03137759919465,-0.0765528864160365
"Gregorian Quad A",305,3,1,,31,96,115,147,82,4.36719712166745,-0.0462523336315805
"Gregorian Quad B","402B",1,,,33,68,81,129,65,4.28797234382073,-0.0568295927319479
"Gregorian Quad B","402A",1,,,35,32,52,89,38,4.15797884341364,-0.0839869715799761
"Gregorian Quad B","402C",1,,,35,36,,54,65,6.88170929663333,-0.143391883836772
"Gregorian Quad B","403F",1,,,38,62,81,33,30,4.4466245729732,-0.0904423137874106
"Gregorian Quad B","401F",1,,,47,62,108,123,115,5.37831881147309,-0.058831259373359
"Gregorian Quad B","402F",1,,,51,28,81,111,65,4.27434728931316,-0.0633472941962188
"East Andrews",210,1,,,64,157,143,146,118,6.84184810646304,-0.0542660180501199
"Gregorian Quad B","401A",1,,,70,,108,62,115,7.00406135391418,-0.0784874532365007
"Gregorian Quad B","401D",1,,,70,133,167,143,120,7.14107946081363,-0.0561911367698808
"Chapin House",320,1,,,72,396,392,,342,3.90751355875355,-0.0130323706434543
"Gregorian Quad A","408D",1,,,73,20,,,,2.9549799447865,-0.0639861400930201
"Gregorian Quad B","403A",1,,,74,62,56,129,57,4.95411048232137,-0.0651954122978229
"Barbour Hall Apartments",40,4,1,,77,,,,287,2.88271120146741,-0.0160953934224071
"Gregorian Quad A",213,4,1,,99,58,98,212,150,4.10883127338653,-0.0332961686462179
"Hope College",114,1,,,106,319,193,222,205,5.53616871150188,-0.0264446434291257
"East Andrews",462,1,,,158,146,170,107,136,12.1512766938901,-0.0844425448341572
"West Andrews",453,1,,,160,239,185,126,113,6.6326508012048,-0.0401816668556964
"West Andrews",455,1,,,160,154,25,107,92,3.85922682535275,-0.0358969908475605
"Plantations House",204,1,,,164,159,,103,187,9.02953384875033,-0.0587294778038884
"West Andrews",207,1,,,169,135,123,156,108,11.4385070300972,-0.0824694899273123
"West Andrews",203,1,,,176,134,141,23,84,3.65653493192836,-0.0328496401184672
"West Andrews",253,1,,,179,137,160,158,108,11.1660098052571,-0.0749900905896145
"Machado",124,1,,,182,,333,,,6.1671254214559,-0.0239117527778277
"East Andrews",410,1,,,186,270,161,126,113,5.54262060501908,-0.0323039750815241
"Champlin",423,1,,,188,235,,148,,9.73323936250604,-0.0510041930039682
"Gregorian Quad B","402E",1,,,191,59,167,89,120,4.60193691530894,-0.0366913495263213
"Gregorian Quad B","403E",1,,,194,69,139,140,123,6.01838023217603,-0.0451001201432093
"Gregorian Quad B","403D",1,,,203,108,151,116,94,6.22613183302328,-0.0461686646780531
"Gregorian Quad A",310,5,1,,204,255,7,278,290,3.41250475110558,-0.0166182639642588
"Champlin",114,1,,,212,,,,,4835.10034271688,-22.7534132015461
"Sears House","114A",1,,,213,,341,,8,2.04133012699047,-0.0115098987076112
"Champlin",103,1,,,219,226,219,284,111,6.85800378424196,-0.032308389908233
"Minden",607,2,,,223,102,,,214,5.89973329900189,-0.0327614136768376
"Wayland House",212,1,,,225,219,189,188,192,23.0168737598031,-0.113327788084173
"Gregorian Quad B","402D",1,,,230,59,6,134,120,2.26877815710696,-0.0214706851240304
"Gregorian Quad B","401E",1,,,234,144,167,135,115,7.03107983959719,-0.0440876679481846
"Machado",122,1,,,257,352,546,,,5.702050593219,-0.0147814852464235
"Minden",307,2,,,263,242,274,144,392,5.99900929038125,-0.0227759989313485
"Machado",120,1,,,269,380,,,,10.6204274148912,-0.0326783067667277
"Machado",125,1,,,281,,485,,,6.76836580837521,-0.0176459738005185
"Young Orchard #2",110,4,1,,300,,389,205,424,7.02702243800905,-0.0212957778522329
"Hegeman B",106,3,,,306,,,,,7136.20727758757,-23.282894809663
"Sears House",320,1,,,313,,,,,7307.86756391722,-23.3105822876529
"Sears House",321,1,,,313,,,,,7307.86756391722,-23.3105822876529
"Chapin House","114B",1,,,318,218,431,310,280,8.1477341483031,-0.026123740866424
"Woolley",416,1,,,329,329,422,329,154,6.49138116935753,-0.0207366237587274
"Goddard House",214,1,,,334,,364,266,256,12.2056503504399,-0.0399530452939638
"Machado",121,1,,,335,288,536,,,6.45157148624454,-0.0166719366530799
"Sears House",319,1,,,336,,241,,,11.0350586011007,-0.0381836504478946
"Poland House",207,1,,,340,49,349,358,,3.63845649725513,-0.0133403801534693
"Grad Center A",410,5,,,347,,561,354,577,7.42352839499002,-0.0160913596485444
"Goddard House",331,1,,,351,307,386,262,277,12.4674057218131,-0.0393169644088065
"Chapin House",322,1,,,354,,,282,379,14.9460901718269,-0.0441104487699698
"Barbour Hall Apartments",160,5,1,,358,508,,385,479,12.5361223813996,-0.0289509230795382
"Goddard House",216,1,,,360,,439,282,274,9.19030685822137,-0.0270902405383147
"Goddard House",212,1,,,362,,286,248,,11.4489503633115,-0.0382695079423826
"Goddard House",113,1,,,372,,,,,8726.77174063926,-23.4275751422527
"Chapin House",321,1,,,385,,,,360,54.1382118105674,-0.145142659009564
"Chapin House",327,1,,,385,,,255,272,9.57059541597732,-0.0314307481884024
"Chapin House","326B",1,,,385,431,,335,423,18.8148880742485,-0.0477535220236368
"Chapin House","326A",1,,,385,400,,335,389,27.4042247882362,-0.0725459292869961
"Everett House",214,1,,,386,,,434,465,23.9340786600831,-0.0558120755347038
"Everett House",224,1,,,386,,,,,9052.3407235904,-23.4213214169217
"Goddard House",329,1,,,389,307,386,,,17.2541507295127,-0.0477733753190027
"Goddard House",330,1,,,389,307,166,185,277,5.84022661823364,-0.0220245182467398
"Jameson House",218,1,,,394,472,531,414,410,15.8704111801353,-0.0356877041924301
"Jameson House",314,1,,,394,588,,,,8.98358681123684,-0.0182475943706375
"New Pembroke #3",215,1,,,397,523,343,365,347,10.7355483049058,-0.0271437655471567
"Chapin House","114A",1,,,403,218,431,304,,7.28545435222902,-0.0214605063662263
"Chapin House",303,1,,,403,,,,,9440.24494116918,-23.3958982656273
"Chapin House","306A",1,,,403,,,,,9440.24494116918,-23.3958982656273
"Chapin House","306B",1,,,403,,,,,9440.24494116918,-23.3958982656273
"Bronson House",203,1,,,405,545,418,398,437,14.8486750433955,-0.0336625313294585
"Gregorian Quad B",403,2,,,416,375,617,441,352,8.43946920618524,-0.0191371459662074
"Bronson House",406,1,,,433,650,,408,573,8.96707993192215,-0.017289225177119
"Machado",31,1,,,440,343,595,,,7.88206692035296,-0.0171162913084574
"Grad Center B",410,6,,,449,596,616,506,580,15.6813181240833,-0.0284959545909257
"Machado",33,1,,,451,466,,268,252,6.50541708495803,-0.0180821863516256
"Mead House",3,1,,,452,,,439,466,74.5227967468006,-0.164570033301731
"Grad Center B",430,6,,,453,602,433,515,580,13.8785664419089,-0.0268274603566611
"Machado",34,1,,,459,456,479,259,,8.34165104629798,-0.0201562930062661
"Machado",32,1,,,470,479,,324,232,6.53591017940013,-0.0173434695607192
"Slater Hall",202,2,,,473,,524,307,355,8.57910440343839,-0.0206549799885425
"Harkness House",327,1,,,474,200,492,476,469,6.75301482977399,-0.0159541033268517
"Harkness House",303,1,,,475,,,,,10987.0265233515,-23.1062598305245
"Harkness House","326B",1,,,480,474,526,497,521,43.2356889638673,-0.0864540870460394
"Harkness House","326A",1,,,481,457,523,497,520,36.428157140338,-0.0734290603689962
"Diman House","306B",1,,,487,,,,,11230.8577589689,-23.0376569995858
"Diman House","306A",1,,,488,,,,,11251.0258772769,-23.0317828163598
"Machado",35,1,,,496,,431,,260,7.15740216090402,-0.0180598020794513
"Caswell Hall",102,2,,,497,467,544,492,499,36.4532541867506,-0.0728627898152326
"Machado",36,1,,,499,,431,,336,11.4504888419154,-0.0271007102727441
"Barbour Hall",206,2,,,519,432,574,469,575,16.3672626313643,-0.0318200611451478
"Barbour Hall",305,2,,,527,400,459,,529,16.2318520877397,-0.0338682907984127
"Slater Hall",102,3,,,533,513,345,,,9.90392854318701,-0.0213276963940246
"Bronson House",319,3,,,534,,635,,,20.7638801785424,-0.035482274549771
"Barbour Hall",205,2,,,536,541,599,596,663,22.6261434959932,-0.0384944415861979
"Harkness House",302,2,,,537,549,607,,,33.5070179648814,-0.0593217201233421
"Harkness House",304,2,,,537,590,628,,,28.3493273557961,-0.0484159468699168
"Diman House",307,2,,,548,521,601,580,524,32.1357763574147,-0.0578706666599043
"Diman House",308,2,,,548,521,601,578,524,32.4384418614493,-0.0584578595762896
"Barbour Hall",203,2,,,559,579,542,710,663,15.557975839771,-0.0253114997080184
"Barbour Hall",208,2,,,570,259,506,413,280,5.88741615886276,-0.0144737067014875
"Harkness House",323,2,,,597,599,622,553,593,48.177150387267,-0.0812017201529101
"Diman House",301,2,,,602,574,601,,,82.92541157177,-0.139879805752717
"Diman House",302,2,,,602,574,601,,,82.92541157177,-0.139879805752717
"Harkness House",301,2,,,604,549,607,,,39.9268297189164,-0.0679988500071318
"Diman House",304,2,,,608,517,,,,22.3460271024972,-0.0396872453807008
"Barbour Hall",308,2,,,614,511,506,411,579,13.4186645631447,-0.0255561028651463
"Barbour Hall",108,2,,,616,579,602,446,579,16.4322426788122,-0.0290601005605716
"Barbour Hall",301,2,,,631,511,506,425,559,13.908905253467,-0.0263813474632433
"Barbour Hall",306,2,,,633,594,620,432,579,13.6414463855095,-0.0237740272459344
"Barbour Hall",201,2,,,635,487,500,379,511,11.0069576733635,-0.0218645397112403
"Gregorian Quad B",402,2,,,636,375,270,441,464,6.41321174373073,-0.014612424134985
"Harkness House",324,2,,,644,578,622,562,593,36.5717785111856,-0.0609192126229555
"Diman House",227,2,,,652,,558,498,,15.9376886568941,-0.0279427946616083
"Barbour Hall",101,2,,,657,247,500,,,4.48847375325018,-0.00939728457482937
"Barbour Hall",103,2,,,657,557,647,644,,27.3662487834936,-0.0436293661934617
"Olney House",217,2,,,661,624,653,636,,80.913958325613,-0.125642473882678
"Barbour Hall",202,2,,,665,,602,601,575,33.0683675306003,-0.0540880689760526
"Barbour Hall",302,2,,,665,,,,,14598.7162615563,-21.9364634520703
"Barbour Hall",303,2,,,665,511,647,644,,16.7813495640157,-0.0270724642112611
"Chapin House",323,2,,,666,644,,638,671,83.9237569815153,-0.128069090082114
"Barbour Hall",105,2,,,668,310,624,639,623,6.4179238870355,-0.0107450547698377
"Goddard House",217,2,,,673,,643,640,671,76.751559616762,-0.116759919976955
"Chapin House",307,2,,,680,,,,,14849.4984848406,-21.8214529312347
"Olney House",213,2,,,681,624,653,636,627,54.9546033106657,-0.0852264553714496
"Olney House",214,2,,,681,447,348,613,620,7.03329938606969,-0.0127395414610945
"Gregorian Quad B",401,2,,,684,494,617,488,601,13.0305867669959,-0.0224778677571295
"Chapin House",324,2,,,689,647,,598,671,31.6685822145185,-0.048454955003226
"Sears House",213,2,,,691,625,633,646,660,49.2802310860244,-0.0756044913757191
"Chapin House",214,2,,,691,648,656,616,564,25.063646963883,-0.0393369638910365
"Olney House",113,2,,,691,637,660,596,667,34.3540703826594,-0.0527001898708505
"Olney House",117,2,,,691,637,657,610,673,39.7506111794583,-0.0606907051872306
"Grad Center A",620,6,,,693,608,609,388,582,9.10790063621993,-0.0155651922645418
"Chapin House",301,2,,,694,,,,,15067.8165161743,-21.6959206194465
"Chapin House",330,2,,,702,,,614,657,29.2941130472429,-0.0442858354192505
"Chapin House",328,2,,,713,,,598,657,21.0945358059434,-0.0317799591491198
"Chapin House",329,2,,,713,,,642,657,33.7106349706849,-0.0498827978311604
"Chapin House",302,2,,,725,,,,,15411.6599776962,-21.2428142274234
"Chapin House",304,2,,,725,,,,,15411.6599776962,-21.2428142274234
"Chapin House",308,2,,,728,,,,,15418.6450066048,-21.1649242388255
"Machado",30,2,,,733,654,648,632,612,24.9350723772398,-0.0377454676151545
"Barbour Hall",104,1,,,,1,30,,,1.36102123147016,-0.0999754536555613
"Slater Hall",105,1,,,,16,46,17,42,3.88200887432659,-0.12695014917354
"Minden",205,1,,,,17,19,,21,22.0056144422008,-1.12849304834176
"Minden",709,1,,,,17,11,5,3,2.83987241358492,-0.305843216786131
"Gregorian Quad A","408F",1,,,,20,625,541,603,2.20484628390975,-0.00438234600411461
"Barbour Hall",304,1,,,,30,109,10,7,0.979402154225148,-0.0329814030573561
"Metcalf",320,1,,,,35,116,170,61,3.11220475405371,-0.032879685292206
"Gregorian Quad B","403B",1,,,,42,108,18,57,2.84527195753362,-0.0511573658280388
"Gregorian Quad B","403C",1,,,,46,81,41,65,6.68272236356069,-0.113771003291712
"Slater Hall",306,1,,,,49,29,19,64,4.1039846947681,-0.101133532815492
"Young Orchard #2",220,4,1,,,67,117,78,91,8.62915401680811,-0.097232018582409
"Metcalf",312,1,,,,95,110,199,162,6.17924485679326,-0.0435307044736666
"Goddard House",336,1,,,,129,,,,2921.98448822126,-22.5635861899578
"Metcalf",102,1,,,,130,127,218,230,6.66453362783351,-0.0377133371030525
"Young Orchard #4",220,4,1,,,132,196,108,265,5.1641370277315,-0.0294163446808317
"Hope College",106,1,,,,161,206,207,177,17.4334163970495,-0.0926077897750346
"Goddard House",231,1,,,,171,,250,324,7.21020807052369,-0.0289790569828358
"Goddard House",232,1,,,,172,443,250,355,5.32329764419854,-0.0174377232976322
"Goddard House",233,1,,,,172,,,,3939.2533306021,-22.8362509006737
"Gregorian Quad B",205,4,1,,,185,199,241,,15.9194216252645,-0.0762302717570341
"Goddard House",234,1,,,,213,,,,4933.64754980629,-23.1084192594785
"Olney House",221,1,,,,214,366,,,6.91427180467606,-0.0238045797566548
"Sears House",212,1,,,,215,,,,4982.73021954624,-23.1217177823957
"Hope College",208,1,,,,225,205,62,142,4.43362272670455,-0.0279596775711683
"Gregorian Quad B",103,5,1,,,280,264,296,291,41.8639950309803,-0.147798746799578
"Goddard House",332,1,,,,284,340,31,304,3.35315668593842,-0.0140950917365677
"Goddard House",334,1,,,,284,340,,219,10.325557162154,-0.0366806050562811
"Goddard House",333,1,,,,288,340,262,262,16.4336395160369,-0.0569623556013184
"Goddard House",335,1,,,,307,,,375,18.2186687314467,-0.053348956768739
"Grad Center A",230,4,,,,308,397,348,,17.5176088992066,-0.0498367251975647
"Goddard House",236,1,,,,316,,,,7485.13058967224,-23.6497016660898
"West Andrews",201,1,,,,332,143,132,137,3.86063583571017,-0.0208132217422578
"Sears House","326B",1,,,,336,,264,253,14.0358886561635,-0.0492775522882993
"Chapin House",220,1,,,,341,,,,8091.8247185677,-23.6949479196737
"Goddard House",235,1,,,,353,,,,8377.9543205576,-23.7000122227216
"Marcy House",228,1,,,,355,276,235,,10.5306832943362,-0.0364174418421304
"Champlin",108,1,,,,356,178,314,349,7.56157547513624,-0.0252278991627023
"Sears House","326A",1,,,,358,,264,253,11.2462435270974,-0.038492606968011
"Chapin House",212,1,,,,389,,,,9211.55878658542,-23.6497016660843
"New Pembroke #2",301,1,,,,395,415,,,73.5802290132847,-0.181455558602429
"New Pembroke #2",303,1,,,,395,468,,,21.4680071481718,-0.0496944586185024
"Diman House",310,1,,,,437,507,,492,28.8824879051725,-0.0602764922582565
"Diman House",325,1,,,,446,495,,,34.8717838149614,-0.0740377575226113
"Machado",38,1,,,,450,604,324,245,5.20120852687033,-0.0127603672302827
"Diman House",323,1,,,,460,509,,,35.9083050977422,-0.0740377423427733
"Diman House",311,1,,,,461,508,483,505,46.8763146904565,-0.0957147824153174
"Harkness House","226B",1,,,,468,,,,10899.7763591443,-23.265264443403
"New Pembroke #2",307,1,,,,478,415,,,25.7397231410136,-0.0575832726342332
"Grad Center D",210,4,,,,491,564,523,540,36.1739077344717,-0.0682526370201048
"New Pembroke #2",305,1,,,,513,486,,,67.1931179251627,-0.134386235850324
"Harkness House","400B",8,1,,,533,532,489,,45.8576578052854,-0.0884429272121072
"Harkness House",230,2,,,,578,,,,13045.8225248582,-22.5511194526628
"Barbour Hall",106,2,,,,579,602,583,581,115.703491522537,-0.197193850057859
"Marcy House",341,2,,,,581,539,,,48.4152086029208,-0.0863786011613117
"Marcy House",342,2,,,,581,539,,,48.4152086029208,-0.0863786011613117
"Sears House",329,2,,,,600,,627,656,49.3650946826831,-0.0785775954220031
"Sears House",330,2,,,,600,,629,537,27.5063436938893,-0.0466757870832804
"Harkness House",228,2,,,,610,,,,13642.268731189,-22.3460587326116
"Harkness House",313,2,,,,613,631,,,125.519018583931,-0.201636977594595
"Harkness House",317,2,,,,613,631,,,125.519018583931,-0.201636977594595
"Marcy House",340,2,,,,618,539,,,26.4453517631574,-0.0456697295954926
"Olney House",313,2,,,,619,669,624,,51.1263431366118,-0.0801512974629369
"Olney House",317,2,,,,619,670,624,,50.062989580587,-0.0784423746418356
"Everett House",124,3,,,,627,,,,13946.7418896293,-22.2258837655157
"Sears House",328,2,,,,639,,629,656,104.399230560121,-0.162657324740836
"New Pembroke #2",204,1,,,,652,486,368,,7.3693058382256,-0.0145674342903598
"Grad Center C",130,4,,,,659,,,357,5.243817109884,-0.00999142547232744
"New Pembroke #2",306,2,,,,660,664,,,607.179107827889,-0.916496766532662
"New Pembroke #2",304,1,,,,661,486,,,10.9004733534669,-0.018850288224294
"New Pembroke #2",315,2,,,,663,664,,,7938.48281217651,-11.9555464038806
"Machado",39,2,,,,674,673,,612,37.3529333770426,-0.0570265086840977
"Everett House",309,4,,,,705,708,677,,67.8601186909884,-0.0968317604302947
"Minden",309,1,,,,,5,,,114.43129720949,-20.8023604174395
"Wayland House",223,1,,,,,9,,,200.348653271823,-21.0886167120906
"Grad Center C","410B",2,,,,,37,,,816.316386763263,-21.7684206841735
"East Andrews",256,1,,,,,71,58,67,21.9952369489553,-0.334104865051783
"Barbour Hall",204,1,,,,,79,10,12,1.28197612919397,-0.0448322831728366
"Wayland House",312,1,,,,,203,173,255,11.2884970763073,-0.0535423395898496
"Olney House",316,1,,,,,229,,197,24.206825477769,-0.113380915586875
"Olney House",314,1,,,,,250,177,151,8.35474380206949,-0.0432527222200372
"Machado",321,1,,,,,273,,,6398.56957988536,-23.3951354847987
"Machado",320,1,,,,,288,,,6770.8984323069,-23.469318582887
"Machado",322,1,,,,,288,,,6770.8984323069,-23.469318582887
"Marcy House",330,1,,,,,356,,,8426.72445155732,-23.6373757397479
"Marcy House",329,1,,,,,380,,,8986.54318848586,-23.6177219346926
"Marcy House",328,1,,,,,391,,,9237.33442219539,-23.5947239677432
"Marcy House",128,1,,,,,393,,,9282.52281408711,-23.5896386934831
"Olney House",325,1,,,,,396,,,9350.06617917349,-23.5815036365553
"Marcy House",127,1,,,,,405,,,9550.96513203406,-23.5535515349933
"Olney House",119,1,,,,,411,,,9683.45269198641,-23.5320843477725
"Olney House",121,1,,,,,411,,,9683.45269198641,-23.5320843477725
"Olney House",122,1,,,,,411,,,9683.45269198641,-23.5320843477725
"Olney House",123,1,,,,,411,,,9683.45269198641,-23.5320843477725
"Olney House",124,1,,,,,411,,,9683.45269198641,-23.5320843477725
"Grad Center C","410A",2,,,,,423,,60,1.8741661264468,-0.00825327673671008
"Olney House",227,1,,,,,423,,,9944.9872878924,-23.482850786925
"Poland House",206,1,,,,,450,391,429,31.4855021285351,-0.0742874607791833
"Olney House",225,1,,,,,462,,,10765.2466450326,-23.2762090258283
"Harkness House",321,1,,,,,497,,,11469.4651536523,-23.0542013878923
"Harkness House",319,1,,,,,502,,,11568.2142634467,-23.0213219928767
"Diman House",226,1,,,,,503,470,488,65.5582905247395,-0.13447854466613
"Harkness House",320,1,,,,,505,,,11627.2834773923,-23.0015499823539
"Diman House","229A",1,,,,,518,497,,87.786523678774,-0.172808117477922
"Diman House","229B",1,,,,,528,,,12076.3479393237,-22.8502327045588
"Diman House",231,2,,,,,560,,604,48.0117531631508,-0.0824234028329793
"Diman House",233,2,,,,,560,581,592,79.0158683593324,-0.136666246507893
"New Pembroke #2",302,1,,,,,574,,,12959.9252132685,-22.5586166766181
"Caswell Hall",310,2,,,,,578,511,539,35.8550099027428,-0.0660109927969161
"Machado",37,1,,,,,604,,235,3.58484050933762,-0.00836415122650787
"Machado",123,1,,,,,607,,,13579.8831212708,-22.3537172415624
"Gregorian Quad A","408A",2,,,,,625,431,,9.40600789022817,-0.0177236938170394
"Machado",315,3,,,,,630,,,13996.8450250766,-22.1995958416705
"Harkness House",314,2,,,,,631,,,14014.532307326,-22.1924504568378
"Diman House",234,2,,,,,635,581,592,46.8768696385206,-0.0777167163283038
"East Andrews",314,3,,,,,661,670,,268.996352329662,-0.40389842690745
"Machado",126,2,,,,,664,,,14563.8986420123,-21.9170790191902
"Machado",326,2,,,,,666,,,14594.040137164,-21.8965349282492
"Jameson House",209,4,,,,,673,640,,71.869806833518,-0.10938727700138
"Slater Hall",207,1,,,,,,9,1,1.97628305207207,-0.387451538586431
"Miller",417,1,,,,,,22,45,5.30418179235732,-0.156162836625482
"Hegeman A",302,1,,,,,,29,,639.602063086483,-21.6813944899121
"Miller",407,1,,,,,,40,74,6.10237766160166,-0.106169274942864
"Miller",418,1,,,,,,48,97,5.34854901635195,-0.0733351840275251
"Miller",403,1,,,,,,61,116,5.83053450880917,-0.0655456597010498
"Miller",401,1,,,,,,61,74,18.9938719385086,-0.279321646249551
"Miller",410,1,,,,,,63,114,6.30245320762228,-0.0708353804265889
"Miller",409,1,,,,,,121,169,10.9962408219907,-0.0755756579219565
"Sears House",327,1,,,,,,151,238,8.12389127718985,-0.041662532411975
"Miller",405,1,,,,,,155,114,11.9453924171478,-0.0884844385000859
"Miller",419,1,,,,,,155,114,11.9453924171478,-0.0884844385000859
"Miller",413,1,,,,,,223,179,16.6141776436148,-0.0824524948231229
"Miller",415,1,,,,,,223,,5169.41558441559,-23.1293760575378
"Goddard House",219,1,,,,,,244,276,29.5357285358217,-0.113380915684536
"Goddard House",230,1,,,,,,268,274,164.914109223347,-0.60741845017809
"Goddard House",229,1,,,,,,268,259,106.629190470505,-0.403898448751913
"Poland House",418,1,,,,,,359,458,14.9855248972384,-0.0366393559532094
"New Pembroke #3",103,1,,,,,,369,363,222.618862051804,-0.607418450345993
"Diman House",309,1,,,,,,474,503,61.1809446965352,-0.125114406332546
"Diman House",326,1,,,,,,478,486,219.361548106016,-0.454635332862218
"Caswell Hall",207,2,,,,,,509,530,89.8602209639934,-0.172808117238483
"Caswell Hall",211,2,,,,,,526,513,145.247261715887,-0.279321657145935
"Minden",505,1,,,,,,,65,1459.93019783461,-22.2890070630037
"Metcalf",224,1,,,,,,,103,2335.85611486002,-22.5686570530865
"Olney House",311,1,,,,,,,210,4900.57684327062,-23.2806499014025
"Olney House",309,1,,,,,,,225,5272.63624005752,-23.3819787345082
"Olney House",310,1,,,,,,,225,5272.63624005752,-23.3819787345082
"Olney House",312,1,,,,,,,284,6747.80623183949,-23.7181237663042
"Woolley",109,5,,,,,,,430,10144.4610529871,-23.5643695273716
"Harkness House",221,1,,,,,,,461,10784.6310694451,-23.368648115578
"Harkness House",220,1,,,,,,,467,10905.9739855444,-23.3282866799156
"Diman House",126,1,,,,,,,472,11006.5608515117,-23.294308761993
"Harkness House",222,1,,,,,,,475,11066.6958905378,-23.2738084748971
"Harkness House",219,1,,,,,,,477,11106.6999444205,-23.2601046789575
"Diman House",125,1,,,,,,,482,11206.4246290028,-23.2257506115769
"Diman House",124,1,,,,,,,484,11246.2057965363,-23.2119831540899
"Harkness House","226A",1,,,,,,,485,11266.074111427,-23.2050960933466
"Sears House","400B",7,1,,,,,,527,12090.0732736724,-22.9195702961035
"Harkness House",223,2,,,,,,,582,13142.3614208284,-22.5619940471093
"Olney House",116,2,,,,,,,586,13216.8423305966,-22.5351107411675
"Diman House",228,2,,,,,,,595,13382.641890583,-22.4729505121821
"Diman House",127,2,,,,,,,610,13651.9869968703,-22.3619773729131
"Harkness House",224,2,,,,,,,626,13925.5772135207,-22.2275778108604
"Sears House",323,2,,,,,,,636,14085.635426406,-22.1298284666512
"Chapin House",229,2,,,,,,,676,14385.2544179215,-21.264246437847
"Chapin House",230,2,,,,,,,676,14385.2544179215,-21.264246437847
